"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Aaron Ekblad","24-25","FLA","D",8,188.3,0,0,3,3,9,18,30,0.37,0,0,2.06,13,7,3,13,16,3,2,0,0,-1,0,0,0
"Adam Boqvist","24-25","FLA","D",7,79.47,0,1,0,1,9,10,20,0.22,0,0,2.2,3,2,1,2,7,1,0,0,0,-1,0,0,0
"Adam Fox","24-25","NYR","D",6,134.85,0,6,1,7,4,9,20,0.64,0,0,7.11,6,6,4,0,5,2,0,0,0,-2,0,0,0
"Adam Larsson","24-25","SEA","D",7,148.27,1,1,1,3,9,15,26,1.31,11.11,6.67,8.73,14,6,2,10,11,2,1,0,0,-1,0,0,0
"Adam Pelech","24-25","NYI","D",6,120.52,0,0,2,2,8,10,19,0.25,0,0,2.5,6,10,2,10,13,0,1,0,0,1,0,0,0
"Albert Johansson","24-25","DET","D",2,23.4,0,0,0,0,1,1,2,0.03,0,0,3,2,3,0,5,4,0,0,0,0,0,0,0,0
"Alec Martinez","24-25","CHI","D",4,84.1,0,0,1,1,4,7,15,0.13,0,0,1.86,15,5,1,1,4,0,0,0,0,0,0,0,0
"Alex Carrier","24-25","NSH","D",6,115.95,0,0,1,1,5,8,11,0.28,0,0,3.5,11,6,2,4,10,1,2,0,0,1,0,0,0
"Alex Pietrangelo","24-25","VGK","D",7,150.17,0,4,2,6,12,16,24,0.61,0,0,3.81,12,15,4,5,9,1,1,0,0,0,0,0,0
"Alex Romanov","24-25","NYI","D",6,127.25,0,1,0,1,9,12,22,0.32,0,0,2.67,16,8,2,10,8,3,1,0,0,-2,0,0,0
"Alex Vlasic","24-25","CHI","D",7,153.88,0,2,1,3,7,10,17,0.24,0,0,2.4,19,9,5,5,11,0,1,0,0,1,0,0,0
"Andreas Englund","24-25","L.A","D",4,53.85,1,0,0,1,3,3,3,0.04,33.33,33.33,1.33,2,4,1,14,8,1,0,0,0,-1,0,0,0
